Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0011272	69461	22775	28508	52770	24635	27218	34985	35593	40621	26909	34456	33361	34320.88	37066	31575	0.848	-0.239	-2.886	0.00390747533335304	0.0265755938513653	0.0046	0.0046	0.0049	0.0049	TRUE	NA
FBgn0026760	63	15	16	19	7	8	32	23	23	10	10	10	17.88	26	10	0.369	-1.439	-2.882	0.0039497414129721	0.0268032614323992	0	0.1506	0.1071	0.1071	TRUE	NA
FBgn0030067	4179	1311	1636	3118	1304	1625	2105	2049	2331	1590	1824	1992	1981.73	2162	1802	0.829	-0.271	-2.881	0.00396548196532944	0.0268677951065189	0.0057	0.0058	0.0058	0.0058	TRUE	NA
FBgn0000479	2386	660	719	1825	649	713	1202	1031	1024	931	908	874	995	1086	904	0.831	-0.267	-2.88	0.00397609857527177	0.0269193027120371	9e-04	0.0072	0.0051	0.0051	TRUE	NA
FBgn0033292	179	65	73	130	47	30	90	102	104	66	66	37	77.43	99	56	0.578	-0.791	-2.877	0.00401347503335337	0.0271312127538574	0.0459	0.0382	0.0399	0.0399	TRUE	NA
FBgn0035106	7260	2347	2067	5951	2026	2108	3657	3668	2945	3035	2834	2584	3120.31	3423	2818	0.823	-0.281	-2.876	0.00402730270050962	0.0271835322113008	0.0087	0.0054	0.0065	0.0065	TRUE	NA
FBgn0020545	2203	1049	1165	1891	938	1167	1110	1639	1660	964	1312	1430	1352.6	1470	1235	0.845	-0.244	-2.866	0.00416275502961898	0.0279709574224962	5e-04	0.0065	0.0044	0.0044	TRUE	NA
FBgn0050349	2985	877	1047	2184	895	1038	1503	1371	1492	1114	1252	1272	1333.94	1455	1213	0.829	-0.271	-2.865	0.00417579132670015	0.0280044530483241	0.004	0.0065	0.0057	0.0057	TRUE	NA
FBgn0262160	6182	2658	2003	4637	2068	2170	3114	4154	2854	2365	2892	2660	3006.41	3374	2639	0.781	-0.356	-2.857	0.00427002798483584	0.0285414295692994	0.0234	0.0054	0.0109	0.0109	TRUE	NA
FBgn0028399	5545	2175	2660	4997	2002	2467	2793	3399	3790	2548	2800	3024	3059.04	3327	2791	0.844	-0.245	-2.856	0.00428523339593009	0.0286002497949594	0.0042	0.0054	0.0049	0.0049	TRUE	NA
FBgn0030501	3122	788	906	2622	711	901	1572	1231	1291	1337	994	1104	1255.12	1365	1145	0.839	-0.253	-2.853	0.00432962732605677	0.0288534119564828	6e-04	0.0066	0.0048	0.0048	TRUE	NA
FBgn0260965	2079	585	448	1702	421	443	1047	914	638	868	589	543	766.57	866	667	0.764	-0.389	-2.851	0.00435617021418662	0.0290086502704597	0.0221	0.0079	0.0118	0.0118	TRUE	NA
FBgn0033518	70	26	17	17	14	12	35	41	24	9	20	15	23.85	33	15	0.397	-1.331	-2.85	0.00437039931858626	0.0290817182674928	0.0767	0.114	0.1055	0.1055	TRUE	NA
FBgn0043854	411	125	138	240	105	132	207	195	197	122	147	162	171.67	200	144	0.706	-0.502	-2.841	0.00449163752298012	0.0297554325520864	0	0.0197	0.0163	0.0163	TRUE	NA
FBgn0039169	963	276	321	658	272	300	485	431	457	336	380	368	409.57	458	361	0.781	-0.356	-2.838	0.00454003776388116	0.0300537711130161	0.0032	0.0109	0.0087	0.0087	TRUE	NA
FBgn0033661	6124	1792	1605	5012	1602	1454	3084	2801	2287	2556	2241	1782	2458.43	2724	2193	0.803	-0.316	-2.836	0.0045699245194427	0.0301844866557865	0.0146	0.0056	0.0085	0.0085	TRUE	NA
FBgn0032815	3758	963	1054	3286	896	1024	1893	1505	1502	1676	1253	1255	1513.93	1633	1395	0.853	-0.23	-2.834	0.00459653070007737	0.0303153760352222	0	0.0063	0.004	0.004	TRUE	NA
FBgn0259174	6222	2060	1975	5220	1808	2131	3134	3219	2814	2662	2529	2612	2828.33	3056	2601	0.851	-0.232	-2.834	0.00459458483582632	0.0303153760352222	0.0025	0.0055	0.0044	0.0044	TRUE	NA
FBtr0307759	205	16	34	26	14	25	103	25	48	13	20	31	40.03	59	21	0.378	-1.405	-2.833	0.0046137714653548	0.0303618122222685	0.3443	0.0697	0.1416	0.1416	TRUE	NA
FBgn0027334	985	350	402	723	349	364	496	547	573	369	488	446	486.48	539	434	0.799	-0.324	-2.83	0.00464873421593793	0.0305468701606517	0	0.0099	0.0073	0.0073	TRUE	NA
FBgn0044323	9393	3218	3180	7532	2980	3492	4731	5029	4531	3841	4168	4280	4430.03	4764	4096	0.858	-0.22	-2.83	0.00466029952445475	0.0306003490833683	0.0021	0.0051	0.0041	0.0041	TRUE	NA
FBgn0031097	193	77	79	118	55	65	97	120	113	60	77	80	91.15	110	72	0.652	-0.618	-2.826	0.0047112405541112	0.0309121073829633	0	0.0332	0.0228	0.0228	TRUE	NA
FBgn0054057	82	25	37	51	11	16	41	39	53	26	15	20	32.35	44	20	0.47	-1.09	-2.823	0.00475394519675531	0.031123702791074	0	0.0852	0.0706	0.0706	TRUE	NA
FBgn0038638	1617	551	618	1248	512	627	814	861	881	636	716	769	779.52	852	707	0.826	-0.276	-2.823	0.00476021068237561	0.0311418911308529	0	0.0079	0.0055	0.0055	TRUE	NA
FBgn0260467	76	21	25	43	10	8	38	33	36	22	14	10	25.41	36	15	0.431	-1.215	-2.822	0.00476970348306893	0.0311811508812632	0	0.1073	0.0843	0.0843	TRUE	NA
FBgn0033364	239	59	63	135	43	52	120	92	90	69	60	64	82.51	101	64	0.634	-0.658	-2.822	0.00477691634164608	0.0312054593495973	0	0.0362	0.0258	0.0258	TRUE	NA
FBgn0036814	4763	1358	1107	3612	1080	1248	2399	2122	1577	1842	1511	1530	1830.12	2033	1628	0.803	-0.317	-2.821	0.00479465629273763	0.0312984507998151	0.0144	0.006	0.0085	0.0085	TRUE	NA
FBgn0000244	1070	414	327	800	290	363	539	647	466	408	406	445	485.06	551	420	0.763	-0.391	-2.818	0.00483202048471897	0.0315193155066036	0.0163	0.0099	0.0116	0.0116	TRUE	NA
FBgn0038966	810	217	274	617	187	245	408	339	390	315	262	300	335.67	379	292	0.771	-0.376	-2.816	0.00485975396322327	0.0316539773096891	0.0011	0.0123	0.0096	0.0096	TRUE	NA
FBgn0023529	14429	3975	4393	11963	4006	4565	7267	6212	6260	6100	5603	5595	6172.97	6580	5766	0.877	-0.189	-2.815	0.0048825166421502	0.0317553924093113	5e-04	0.005	0.0031	0.0031	TRUE	NA
FBgn0038349	4369	1626	1778	4122	1473	1522	2201	2541	2533	2102	2060	1865	2217.13	2425	2009	0.832	-0.265	-2.815	0.00487925722829596	0.0317553924093113	0.006	0.0057	0.0059	0.0059	TRUE	NA
FBgn0002638	5563	2016	2182	4683	2005	2198	2802	3151	3109	2388	2804	2694	2824.68	3021	2629	0.869	-0.202	-2.813	0.00490670521314837	0.0318436610126562	0	0.0055	0.0034	0.0034	TRUE	NA
FBgn0053094	3054	1054	1147	2633	1017	1096	1538	1647	1634	1343	1422	1343	1488.04	1606	1369	0.853	-0.229	-2.811	0.00493583689681581	0.0320094578711439	0	0.0063	0.004	0.004	TRUE	NA
FBgn0010488	29142	9673	8953	23544	8607	9923	14678	15117	12757	12006	12038	12163	13126.46	14184	12069	0.851	-0.233	-2.809	0.00496895504468101	0.0322008480036295	0.005	0.0047	0.0049	0.0049	TRUE	NA
FBgn0016977	28931	8919	6345	22539	6642	6738	14572	13939	9041	11493	9290	8259	11098.89	12517	9681	0.772	-0.373	-2.806	0.00500957880000245	0.0324405646729672	0.0322	0.0048	0.0126	0.0126	TRUE	NA
FBgn0036974	4874	1435	1759	4060	1400	1715	2455	2243	2506	2070	1958	2102	2222.4	2401	2043	0.851	-0.233	-2.804	0.0050435254196231	0.0326367260849524	0.002	0.0057	0.0045	0.0045	TRUE	NA
FBgn0085438	174	42	72	88	42	40	88	66	103	45	59	49	68.09	86	51	0.585	-0.773	-2.8	0.00511035963967191	0.0329974776444469	0.0246	0.0429	0.0386	0.0386	TRUE	NA
FBgn0001139	9148	3031	3107	7031	2903	3414	4608	4737	4427	3585	4060	4184	4266.96	4591	3943	0.856	-0.224	-2.798	0.0051438980530453	0.0331900358480452	0.0031	0.0051	0.0044	0.0044	TRUE	NA
FBgn0034447	2154	719	795	1781	671	797	1085	1124	1133	908	938	977	1027.49	1114	941	0.845	-0.244	-2.79	0.00526660753261485	0.0338438136313304	0	0.0071	0.0045	0.0045	TRUE	NA
