Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030520	11121	3699	3859	11658	4159	4850	5601	5781	5499	5945	5817	5945	5764.54	5627	5902	1.049	0.069	0.732	0.46390617127702	0.834079638934851	1e-04	0.0134	0.0062	0.0062	TRUE	0.0069
FBgn0030521	8614	3545	4149	8740	3746	4673	4339	5540	5912	4457	5239	5728	5202.42	5264	5141	0.977	-0.034	-0.22	0.826032109487979	0.962229866072423	0.0207	0.0134	0.0166	0.0166	TRUE	0.2914
FBgn0030522	401	150	211	433	206	220	202	234	301	221	288	270	252.6	246	260	1.058	0.082	0.4	0.689095771875317	0.924399728016691	0.0266	0.0253	0.0258	0.0258	TRUE	0.4114
FBgn0030524	21	7	3	17	4	2	11	11	4	9	6	2	7.08	9	6	0.669	-0.58	-0.7	0.483634056185399	0.844487068896951	0.1248	0.4574	0.3465	0.3465	TRUE	0.3866
FBgn0030525	7	4	2	14	3	5	4	6	3	7	4	6	5.02	4	6	1.453	0.539	0.589	0.55579117326466	NA	0	0.6408	0.3886	0.3886	TRUE	0.1796
FBgn0030528	216	101	125	200	91	128	109	158	178	102	127	157	138.48	148	129	0.872	-0.198	-0.758	0.448247006883526	0.827884054125109	0.05	0.0356	0.0411	0.0411	TRUE	0.4661
FBgn0030529	25262	6903	7424	15682	5158	6154	12724	10788	10578	7997	7214	7543	9474.02	11363	7585	0.667	-0.583	-4.944	7.64907072729304e-07	2.89916055182975e-05	0.0066	0.0132	0.0099	0.0099	TRUE	0.1349
FBgn0030530	3291	1265	1241	2855	1469	1757	1658	1977	1768	1456	2055	2154	1844.48	1801	1888	1.048	0.067	0.405	0.68529049890247	0.922756463004065	0.0254	0.0146	0.0191	0.0191	TRUE	0.4967
FBgn0030536	6	1	2	12	0	2	3	2	3	6	0	2	2.67	3	3	1.223	0.291	0.216	0.829277099942398	NA	0.4095	1.1934	0.9351	0.9351	TRUE	0.3095
FBgn0030537	4	0	1	2	1	0	2	0	1	1	1	0	0.98	1	1	0.661	-0.597	-0.284	0.776716693258095	NA	0	3.2382	2.1458	2.1458	TRUE	0.4828
FBgn0030538	1	0	0	0	0	1	1	0	0	0	0	1	0.29	0	0	1.109	0.15	0.037	0.97050138640727	NA	0	10.9386	9.9993	9.9993	TRUE	0.5323
FBgn0030539	3	2	0	0	0	1	2	3	0	0	0	1	0.98	2	0	0.241	-2.055	-0.872	0.383211509268076	NA	0	3.2359	2.7495	2.7495	TRUE	0.2568
FBgn0030540	8	0	1	18	1	0	4	0	1	9	1	0	2.67	2	3	1.863	0.898	0.562	0.573900873610059	NA	2.0751	1.1914	1.4283	1.4283	TRUE	2.6971
FBgn0030541	1	0	0	5	2	0	1	0	0	3	3	0	0.98	0	2	5.142	2.362	1.017	0.308963250220455	NA	0	3.2423	2.7059	2.7059	TRUE	0.4875
FBgn0030542	0	0	0	2	0	0	0	0	0	1	0	0	0.17	0	0	2.419	1.274	0.314	0.753276162384087	NA	0	18.5391	10	10	TRUE	0.5299
